tanggal,hari,product_id,product_name,kategori,satuan,harga_normal,diskon_persen,harga_jual,cogs,quantity_sold,lost_sales,revenue,gross_profit,stock_awal,restock_diterima,stock_akhir,restock_dipesan,expired_qty,tanggal_kedaluwarsa,days_to_expiry,is_periode_gajian,is_ramadan
2025-08-30,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,28,0,952000,154000,161,150,133,0,0,2027-02-21,540,1,0
2025-08-31,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,27,0,918000,148500,133,0,106,0,0,2027-02-21,539,1,0
2025-09-01,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,20,0,680000,110000,106,0,86,0,0,2027-02-21,538,1,0
2025-09-02,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,25,0,722500,10000,86,0,61,0,0,2027-02-21,537,1,0
2025-09-03,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,23,0,782000,126500,61,0,38,150,0,2027-02-21,536,1,0
2025-09-04,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,12.0,29900,28500,30,0,897000,42000,188,150,158,0,0,2027-02-26,540,1,0
2025-09-05,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,5.0,32300,28500,21,0,678300,79800,158,0,137,0,0,2027-02-26,539,1,0
2025-09-06,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,21,0,714000,115500,137,0,116,0,0,2027-02-26,538,0,0
2025-09-07,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,25,0,850000,137500,116,0,91,0,0,2027-02-26,537,0,0
2025-09-08,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,25,0,722500,10000,91,0,66,0,0,2027-02-26,536,0,0
2025-09-09,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,27,0,780300,10800,66,0,39,150,0,2027-02-26,535,0,0
2025-09-10,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,21,0,714000,115500,39,0,18,0,0,2027-02-26,534,0,0
2025-09-11,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,18,1,612000,99000,18,0,0,0,0,2027-02-26,533,0,0
2025-09-12,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,16,0,544000,88000,150,150,134,0,0,2027-03-06,540,0,0
2025-09-13,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,19,0,646000,104500,134,0,115,0,0,2027-03-06,539,0,0
2025-09-14,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,26,0,884000,143000,115,0,89,0,0,2027-03-06,538,0,0
2025-09-15,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,16,0,544000,88000,89,0,73,0,0,2027-03-06,537,0,0
2025-09-16,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,10.0,30600,28500,25,0,765000,52500,73,0,48,150,0,2027-03-06,536,0,0
2025-09-17,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,20,0,578000,8000,48,0,28,0,0,2027-03-06,535,0,0
2025-09-18,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,12.0,29900,28500,16,0,478400,22400,178,150,162,0,0,2027-03-12,540,0,0
2025-09-19,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,22,0,635800,8800,162,0,140,0,0,2027-03-12,539,0,0
2025-09-20,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,18,0,612000,99000,140,0,122,0,0,2027-03-12,538,0,0
2025-09-21,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,24,0,816000,132000,122,0,98,0,0,2027-03-12,537,0,0
2025-09-22,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,11,0,317900,4400,98,0,87,0,0,2027-03-12,536,0,0
2025-09-23,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,21,0,714000,115500,87,0,66,0,0,2027-03-12,535,0,0
2025-09-24,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,25,0,722500,10000,66,0,41,150,0,2027-03-12,534,0,0
2025-09-25,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,23,0,664700,9200,41,0,18,0,0,2027-03-12,533,1,0
2025-09-26,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,18,3,612000,99000,18,0,0,0,0,2027-03-12,532,1,0
2025-09-27,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,34,0,1156000,187000,150,150,116,0,0,2027-03-21,540,1,0
2025-09-28,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,21,0,714000,115500,116,0,95,0,0,2027-03-21,539,1,0
2025-09-29,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,10.0,30600,28500,21,0,642600,44100,95,0,74,0,0,2027-03-21,538,1,0
2025-09-30,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,20,0,680000,110000,74,0,54,150,0,2027-03-21,537,1,0
2025-10-01,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,24,0,693600,9600,204,150,180,0,0,2027-03-25,540,1,0
2025-10-02,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,28,0,952000,154000,180,0,152,0,0,2027-03-25,539,1,0
2025-10-03,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,47,0,1358300,18800,152,0,105,0,0,2027-03-25,538,1,0
2025-10-04,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,22,0,748000,121000,105,0,83,0,0,2027-03-25,537,1,0
2025-10-05,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,22,0,748000,121000,83,0,61,0,0,2027-03-25,536,1,0
2025-10-06,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,12,0,408000,66000,61,0,49,150,0,2027-03-25,535,0,0
2025-10-07,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,16,0,544000,88000,49,0,33,0,0,2027-03-25,534,0,0
2025-10-08,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,28,0,809200,11200,33,0,5,0,0,2027-03-25,533,0,0
2025-10-09,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,17,0,578000,93500,155,150,138,0,0,2027-04-02,540,0,0
2025-10-10,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,23,0,664700,9200,138,0,115,0,0,2027-04-02,539,0,0
2025-10-11,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,24,0,816000,132000,115,0,91,0,0,2027-04-02,538,0,0
2025-10-12,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,26,0,884000,143000,91,0,65,0,0,2027-04-02,537,0,0
2025-10-13,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,5.0,32300,28500,20,0,646000,76000,65,0,45,150,0,2027-04-02,536,0,0
2025-10-14,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,10,0,340000,55000,195,150,185,0,0,2027-04-07,540,0,0
2025-10-15,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,5.0,32300,28500,23,0,742900,87400,185,0,162,0,0,2027-04-07,539,0,0
2025-10-16,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,11,0,374000,60500,162,0,151,0,0,2027-04-07,538,0,0
2025-10-17,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,23,0,782000,126500,151,0,128,0,0,2027-04-07,537,0,0
2025-10-18,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,17,0,578000,93500,128,0,111,0,0,2027-04-07,536,0,0
2025-10-19,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,24,0,816000,132000,111,0,87,0,0,2027-04-07,535,0,0
2025-10-20,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,17,0,578000,93500,87,0,70,0,0,2027-04-07,534,0,0
2025-10-21,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,16,0,544000,88000,70,0,54,150,0,2027-04-07,533,0,0
2025-10-22,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,18,0,612000,99000,54,0,36,0,0,2027-04-07,532,0,0
2025-10-23,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,22,0,635800,8800,36,0,14,0,0,2027-04-07,531,0,0
2025-10-24,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,21,0,714000,115500,164,150,143,0,0,2027-04-17,540,0,0
2025-10-25,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,46,0,1564000,253000,143,0,97,0,0,2027-04-17,539,1,0
2025-10-26,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,28,0,952000,154000,97,0,69,0,0,2027-04-17,538,1,0
2025-10-27,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,15,0,510000,82500,69,0,54,150,0,2027-04-17,537,1,0
2025-10-28,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,36,0,1040400,14400,54,0,18,0,0,2027-04-17,536,1,0
2025-10-29,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,27,0,918000,148500,168,150,141,0,0,2027-04-22,540,1,0
2025-10-30,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,15,0,510000,82500,141,0,126,0,0,2027-04-22,539,1,0
2025-10-31,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,48,0,1387200,19200,126,0,78,0,0,2027-04-22,538,1,0
2025-11-01,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,34,0,1156000,187000,78,0,44,150,0,2027-04-22,537,1,0
2025-11-02,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,10.0,30600,28500,44,2,1346400,92400,44,0,0,0,0,2027-04-22,536,1,0
2025-11-03,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,24,0,816000,132000,150,150,126,0,0,2027-04-27,540,1,0
2025-11-04,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,24,0,816000,132000,126,0,102,0,0,2027-04-27,539,1,0
2025-11-05,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,24,0,816000,132000,102,0,78,0,0,2027-04-27,538,1,0
2025-11-06,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,20,0,680000,110000,78,0,58,0,0,2027-04-27,537,0,0
2025-11-07,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,19,0,646000,104500,58,0,39,150,0,2027-04-27,536,0,0
2025-11-08,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,25,0,850000,137500,189,150,164,0,0,2027-05-02,540,0,0
2025-11-09,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,20,0,680000,110000,164,0,144,0,0,2027-05-02,539,0,0
2025-11-10,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,25,0,850000,137500,144,0,119,0,0,2027-05-02,538,0,0
2025-11-11,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,5.0,32300,28500,20,0,646000,76000,119,0,99,0,0,2027-05-02,537,0,0
2025-11-12,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,5.0,32300,28500,19,0,613700,72200,99,0,80,0,0,2027-05-02,536,0,0
2025-11-13,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,9,0,306000,49500,80,0,71,0,0,2027-05-02,535,0,0
2025-11-14,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,35,0,1011500,14000,71,0,36,150,0,2027-05-02,534,0,0
2025-11-15,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,16,0,544000,88000,36,0,20,0,0,2027-05-02,533,0,0
2025-11-16,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,19,0,646000,104500,170,150,151,0,0,2027-05-10,540,0,0
2025-11-17,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,17,0,491300,6800,151,0,134,0,0,2027-05-10,539,0,0
2025-11-18,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,13,0,442000,71500,134,0,121,0,0,2027-05-10,538,0,0
2025-11-19,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,23,0,782000,126500,121,0,98,0,0,2027-05-10,537,0,0
2025-11-20,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,17,0,578000,93500,98,0,81,0,0,2027-05-10,536,0,0
2025-11-21,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,8.0,31300,28500,21,0,657300,58800,81,0,60,0,0,2027-05-10,535,0,0
2025-11-22,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,21,0,714000,115500,60,0,39,150,0,2027-05-10,534,0,0
2025-11-23,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,26,0,751400,10400,39,0,13,0,0,2027-05-10,533,0,0
2025-11-24,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,5.0,32300,28500,13,7,419900,49400,13,0,0,0,0,2027-05-10,532,0,0
2025-11-25,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,28,0,952000,154000,150,150,122,0,0,2027-05-19,540,1,0
2025-11-26,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,20,0,680000,110000,122,0,102,0,0,2027-05-19,539,1,0
2025-11-27,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,32,0,1088000,176000,102,0,70,0,0,2027-05-19,538,1,0
2025-11-28,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,22,0,748000,121000,70,0,48,150,0,2027-05-19,537,1,0
2025-11-29,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,5.0,32300,28500,27,0,872100,102600,48,0,21,0,0,2027-05-19,536,1,0
2025-11-30,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,24,0,816000,132000,171,150,147,0,0,2027-05-24,540,1,0
2025-12-01,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,5.0,32300,28500,21,0,678300,79800,147,0,126,0,0,2027-05-24,539,1,0
2025-12-02,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,10.0,30600,28500,17,0,520200,35700,126,0,109,0,0,2027-05-24,538,1,0
2025-12-03,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,22,0,748000,121000,109,0,87,0,0,2027-05-24,537,1,0
2025-12-04,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,26,0,751400,10400,87,0,61,0,0,2027-05-24,536,1,0
2025-12-05,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,32,0,1088000,176000,61,0,29,150,0,2027-05-24,535,1,0
2025-12-06,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,15,0,510000,82500,29,0,14,0,0,2027-05-24,534,0,0
2025-12-07,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,22,0,748000,121000,164,150,142,0,0,2027-05-31,540,0,0
2025-12-08,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,14,0,476000,77000,142,0,128,0,0,2027-05-31,539,0,0
2025-12-09,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,20,0,680000,110000,128,0,108,0,0,2027-05-31,538,0,0
2025-12-10,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,8.0,31300,28500,21,0,657300,58800,108,0,87,0,0,2027-05-31,537,0,0
2025-12-11,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,8,0,272000,44000,87,0,79,0,0,2027-05-31,536,0,0
2025-12-12,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,27,0,918000,148500,79,0,52,150,0,2027-05-31,535,0,0
2025-12-13,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,23,0,782000,126500,52,0,29,0,0,2027-05-31,534,0,0
2025-12-14,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,17,0,578000,93500,29,0,12,0,0,2027-05-31,533,0,0
2025-12-15,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,12,0,408000,66000,162,150,150,0,0,2027-06-08,540,0,0
2025-12-16,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,19,0,549100,7600,150,0,131,0,0,2027-06-08,539,0,0
2025-12-17,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,13,0,442000,71500,131,0,118,0,0,2027-06-08,538,0,0
2025-12-18,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,15,0,510000,82500,118,0,103,0,0,2027-06-08,537,0,0
2025-12-19,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,14,0,476000,77000,103,0,89,0,0,2027-06-08,536,0,0
2025-12-20,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,23,0,782000,126500,89,0,66,0,0,2027-06-08,535,0,0
2025-12-21,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,15,0,510000,82500,66,0,51,150,0,2027-06-08,534,0,0
2025-12-22,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,21,0,714000,115500,201,150,180,0,0,2027-06-15,540,0,0
2025-12-23,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,11,0,374000,60500,180,0,169,0,0,2027-06-15,539,0,0
2025-12-24,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,21,0,714000,115500,169,0,148,0,0,2027-06-15,538,0,0
2025-12-25,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,49,0,1416100,19600,148,0,99,0,0,2027-06-15,537,1,0
2025-12-26,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,33,0,1122000,181500,99,0,66,0,0,2027-06-15,536,1,0
2025-12-27,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,12.0,29900,28500,60,0,1794000,84000,66,0,6,150,0,2027-06-15,535,1,0
2025-12-28,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,6,29,204000,33000,6,0,0,0,0,2027-06-15,534,1,0
2025-12-29,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,0,21,0,0,0,0,0,0,0,2027-06-15,533,1,0
2025-12-30,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,12.0,29900,28500,32,0,956800,44800,150,150,118,0,0,2027-06-23,540,1,0
2025-12-31,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,22,0,748000,121000,118,0,96,0,0,2027-06-23,539,1,0
2026-01-01,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,12.0,29900,28500,29,0,867100,40600,96,0,67,0,0,2027-06-23,538,1,0
2026-01-02,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,36,0,1224000,198000,67,0,31,150,0,2027-06-23,537,1,0
2026-01-03,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,12.0,29900,28500,27,0,807300,37800,181,150,154,0,0,2027-06-27,540,1,0
2026-01-04,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,20,0,680000,110000,154,0,134,0,0,2027-06-27,539,1,0
2026-01-05,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,20,0,578000,8000,134,0,114,0,0,2027-06-27,538,1,0
2026-01-06,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,19,0,646000,104500,114,0,95,0,0,2027-06-27,537,0,0
2026-01-07,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,23,0,782000,126500,95,0,72,0,0,2027-06-27,536,0,0
2026-01-08,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,13,0,442000,71500,72,0,59,0,0,2027-06-27,535,0,0
2026-01-09,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,12.0,29900,28500,27,0,807300,37800,59,0,32,330,0,2027-06-27,534,0,0
2026-01-10,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,11,0,374000,60500,32,0,21,0,0,2027-06-27,533,0,0
2026-01-11,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,25,0,722500,10000,351,330,326,0,0,2027-07-05,540,0,0
2026-01-12,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,12,0,346800,4800,326,0,314,0,0,2027-07-05,539,0,0
2026-01-13,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,20,0,578000,8000,314,0,294,0,0,2027-07-05,538,0,0
2026-01-14,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,10.0,30600,28500,17,0,520200,35700,294,0,277,0,0,2027-07-05,537,0,0
2026-01-15,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,21,0,714000,115500,277,0,256,0,0,2027-07-05,536,0,0
2026-01-16,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,14,0,476000,77000,256,0,242,0,0,2027-07-05,535,0,0
2026-01-17,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,22,0,635800,8800,242,0,220,0,0,2027-07-05,534,0,0
2026-01-18,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,10,0,340000,55000,220,0,210,0,0,2027-07-05,533,0,0
2026-01-19,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,11,0,374000,60500,210,0,199,0,0,2027-07-05,532,0,0
